,0
lag_1,0.14746253
lag_2,0.055923622
hour_cos,0.05577994
hour_sin,0.046894025
dow_sin,0.03619791
roll_mean_168,0.035074215
lag_24,0.034896143
dow_cos,0.034144428
roll_std_24,0.026700482
T5,0.026158918
T_out,0.024452928
RH_6,0.023636095
lag_168,0.023163512
RH_8,0.023026008
roll_mean_24,0.022914384
RH_out,0.021230109
RH_9,0.020964887
Windspeed,0.02074564
RH_7,0.020267256
T7,0.019800795
RH_3,0.01919091
T9,0.019059924
Tdewpoint,0.018764276
lag_3,0.018493023
lag_48,0.017797215
RH_4,0.017500386
T8,0.01714496
T4,0.01699709
T6,0.016942857
Visibility,0.016925408
T3,0.016630854
RH_5,0.015900215
T2,0.0147585785
Press_mm_hg,0.014437166
RH_1,0.013742406
RH_2,0.011288317
T1,0.009263379
is_weekend,0.0057292082
