p,d,q,AIC,fit_seconds
1,0,6,9621.568086159397,11.27
0,0,6,9625.213711829114,10.22
6,0,0,9629.535776505814,8.49
0,1,5,9630.859453953872,9.11
5,0,0,9640.973670576324,7.18
0,0,5,9641.751681630154,7.57
1,0,4,9641.829697443158,7.67
0,1,6,9642.009517714243,10.88
0,1,4,9645.24429451965,7.02
6,1,0,9653.95790736259,10.3
4,0,0,9654.170537997492,6.28
0,0,4,9657.162623773824,10.57
1,0,3,9658.12479253472,7.72
0,1,3,9662.459326109996,8.61
1,0,5,9666.663041786145,8.99
3,0,0,9667.2899659956,5.88
5,1,0,9670.38097253513,9.1
1,0,2,9671.159856130143,5.95
0,0,3,9678.1240576231,6.63
2,0,0,9680.709423581739,4.65
1,0,1,9682.550178875477,5.56
4,1,0,9687.042638860867,7.87
0,1,2,9691.572446166912,4.93
3,1,1,9694.437440152364,9.42
5,0,6,9694.687836012796,14.49
6,0,6,9695.55460350914,15.96
2,0,6,9699.86617308835,11.46
3,0,6,9700.154640228673,13.41
6,1,6,9701.322756872858,14.05
5,1,6,9701.556567447562,15.21
4,0,6,9701.931171430977,16.19
1,1,1,9703.213590452242,6.65
0,0,2,9704.87564368196,5.19
0,1,1,9704.94010097764,6.07
1,1,6,9705.623251261779,13.6
2,1,6,9707.819083682296,10.95
4,1,6,9708.289154229984,12.13
3,1,6,9709.799055997846,13.15
6,0,5,9710.154356383984,13.79
6,0,4,9711.800113348094,13.53
3,1,0,9712.159745882176,5.41
5,0,5,9713.710293851082,12.91
2,0,5,9717.587595157607,8.59
4,0,5,9719.94716310241,10.46
6,0,1,9720.514240878894,11.02
3,0,5,9720.621669361748,10.9
1,1,5,9721.895806357637,13.91
3,0,4,9723.781618358396,11.55
6,0,2,9724.550512280837,13.37
3,1,5,9725.228889033744,13.47
6,1,5,9725.52174028836,15.98
2,1,5,9725.640205539705,11.22
4,1,5,9726.815684964255,11.5
5,0,1,9726.996284803266,10.08
2,0,4,9728.954935364323,9.96
5,1,5,9729.535294962723,13.38
2,0,3,9730.662058543912,9.99
5,0,4,9732.109826341872,14.18
4,0,4,9733.754327617105,14.17
6,1,2,9737.743195721167,13.45
5,0,2,9738.161141336941,10.16
6,1,1,9738.45910229498,13.14
2,0,1,9738.508860093327,7.6
1,1,4,9740.20193256382,11.4
2,1,0,9740.761561252632,6.48
1,0,0,9742.29153082278,4.34
5,0,3,9742.948054081342,14.43
6,1,4,9744.223218950568,15.22
3,0,3,9744.747148715742,8.86
2,1,4,9747.56741547554,8.15
3,1,4,9748.068211152757,10.23
4,0,3,9749.690579824657,9.74
4,0,1,9749.928422591362,7.79
5,1,4,9750.118164171858,11.9
5,1,3,9750.128553806906,11.73
6,1,3,9750.187345979943,13.35
4,1,4,9752.043643785863,10.35
1,1,2,9752.267651982474,6.61
5,1,2,9752.903339347944,9.83
4,0,2,9753.186566270564,7.87
2,2,6,9753.781806845995,13.34
2,1,1,9754.338515642496,7.01
5,1,1,9754.4857367666,11.82
1,2,6,9755.043069699655,13.9
4,2,6,9755.099760584204,14.46
5,2,6,9755.113186100793,16.11
4,1,1,9755.731531801262,12.13
3,2,6,9756.182220462357,18.06
3,0,1,9757.720169174363,7.67
6,2,6,9758.222037241201,17.37
2,0,2,9758.739369202609,7.54
1,1,3,9759.976123425517,9.1
2,1,3,9760.692106769906,12.39
3,1,3,9762.825522555046,9.24
4,1,3,9763.138528853427,11.23
4,1,2,9765.487959352215,9.79
3,0,2,9767.072857788538,7.01
3,1,2,9767.133125515458,6.46
0,2,6,9772.814309708861,14.26
1,1,0,9773.047943398851,4.0
2,1,2,9778.420222278217,7.27
6,2,5,9785.12691439154,17.47
0,0,1,9787.42542364067,4.51
4,2,5,9788.937407149831,13.76
0,2,5,9790.903065931627,10.74
5,2,5,9791.200521076056,15.05
6,2,4,9792.91974569386,13.56
1,2,5,9793.176866173239,12.35
2,2,5,9795.99433102399,11.63
3,2,5,9796.241531626612,12.54
6,2,3,9802.112203357308,13.97
5,2,4,9808.872170757855,16.24
0,2,4,9810.491181477762,11.33
3,2,4,9812.641745192515,11.01
1,2,4,9813.60214615293,10.74
2,2,4,9816.185010299447,11.62
4,2,4,9818.249816111926,13.41
3,2,3,9819.389701318862,16.04
5,2,3,9820.352911268732,13.23
4,2,3,9820.815456937671,13.2
3,2,1,9823.979362019292,8.5
6,2,1,9824.071640699793,12.13
2,2,3,9826.83022895208,8.94
6,2,2,9827.816453285526,13.52
1,2,3,9831.058980617854,10.02
5,2,2,9844.58575820256,13.1
0,2,3,9846.11328018081,6.77
4,2,2,9861.31912509302,10.57
5,2,1,9867.40684972609,10.72
5,2,0,9874.658525295592,9.15
6,2,0,9878.640343877216,9.52
1,2,2,9878.882032633674,7.97
3,2,2,9882.974625328232,7.56
2,2,2,9888.850890867026,7.05
4,2,1,9888.893776569665,8.95
0,0,0,9893.630928580733,4.45
4,2,0,9901.516037456899,6.06
0,1,0,9934.194557571273,4.13
0,2,2,9947.581607175962,7.48
1,2,1,9956.432932946354,8.02
2,2,1,9965.941755922975,7.17
3,2,0,9974.501257642376,6.14
2,2,0,10062.43868487937,4.86
0,2,1,10125.976313798294,5.04
1,2,0,10211.90387869205,4.67
0,2,0,10631.962237951653,3.92
6,0,3,16496.703456440977,14.01
